name,id,category,href,images,semantic_features
Mugs Helen B,1104,du-palais,https://www.lesraffineurs.com/du-palais/1104-mug-helen-b.html,"['https://lesraffineurs.b-cdn.net/14446-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/9430-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/9431-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/9433-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/9434-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/9436-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/9435-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/9432-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/11874-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/13577-large_default/mug-helen-b.jpg', 'https://lesraffineurs.b-cdn.net/13604-large_default/mug-helen-b.jpg']",
Pierre de sel de l’Himalaya,1610,du-palais,https://www.lesraffineurs.com/du-palais/1610-pierre-de-sel-de-lhimalaya.html,"['https://lesraffineurs.b-cdn.net/12853-large_default/pierre-de-sel-de-lhimalaya.jpg', 'https://lesraffineurs.b-cdn.net/12851-large_default/pierre-de-sel-de-lhimalaya.jpg', 'https://lesraffineurs.b-cdn.net/12852-large_default/pierre-de-sel-de-lhimalaya.jpg', 'https://lesraffineurs.b-cdn.net/12850-large_default/pierre-de-sel-de-lhimalaya.jpg']",
Atelier : Créez votre propre bière,26,des-experiences,https://www.lesraffineurs.com/des-experiences/26-stage-biere-paris.html,"['https://lesraffineurs.b-cdn.net/4805-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4780-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4792-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4779-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4783-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4789-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4785-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4790-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4788-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4786-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4787-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4775-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/4794-large_default/stage-biere-paris.jpg', 'https://lesraffineurs.b-cdn.net/2679-large_default/stage-biere-paris.jpg']",
Bracelet Studebaker,387,du-style,https://www.lesraffineurs.com/du-style/387-bracelet-studebaker.html,"['https://lesraffineurs.b-cdn.net/13210-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/13211-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/13212-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/13213-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/13214-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/13215-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/13216-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/7823-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/7825-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/7826-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/7824-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/7813-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/7815-large_default/bracelet-studebaker.jpg', 'https://lesraffineurs.b-cdn.net/7814-large_default/bracelet-studebaker.jpg']",
Affiches cyclisme - Les maillots gagnants,1258,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/1258-affiche-maillot-cyclisme.html,"['https://lesraffineurs.b-cdn.net/13028-large_default/affiche-maillot-cyclisme.jpg', 'https://lesraffineurs.b-cdn.net/10686-large_default/affiche-maillot-cyclisme.jpg', 'https://lesraffineurs.b-cdn.net/13026-large_default/affiche-maillot-cyclisme.jpg', 'https://lesraffineurs.b-cdn.net/13027-large_default/affiche-maillot-cyclisme.jpg', 'https://lesraffineurs.b-cdn.net/13029-large_default/affiche-maillot-cyclisme.jpg']",
Lampe à interrupteur suspendu,1320,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/1320-lampe-a-interrupteur-suspendu.html,"['https://lesraffineurs.b-cdn.net/11311-large_default/lampe-a-interrupteur-suspendu.jpg', 'https://lesraffineurs.b-cdn.net/11174-large_default/lampe-a-interrupteur-suspendu.jpg', 'https://lesraffineurs.b-cdn.net/11173-large_default/lampe-a-interrupteur-suspendu.jpg', 'https://lesraffineurs.b-cdn.net/11255-large_default/lampe-a-interrupteur-suspendu.jpg', 'https://lesraffineurs.b-cdn.net/11253-large_default/lampe-a-interrupteur-suspendu.jpg', 'https://lesraffineurs.b-cdn.net/11252-large_default/lampe-a-interrupteur-suspendu.jpg', 'https://lesraffineurs.b-cdn.net/11313-large_default/lampe-a-interrupteur-suspendu.jpg', 'https://lesraffineurs.b-cdn.net/11312-large_default/lampe-a-interrupteur-suspendu.jpg']",
Atelier découverte et dégustation café,541,des-experiences,https://www.lesraffineurs.com/des-experiences/541-atelier-decouverte-et-degustation-cafe.html,"['https://lesraffineurs.b-cdn.net/4529-large_default/atelier-decouverte-et-degustation-cafe.jpg', 'https://lesraffineurs.b-cdn.net/4563-large_default/atelier-decouverte-et-degustation-cafe.jpg', 'https://lesraffineurs.b-cdn.net/4530-large_default/atelier-decouverte-et-degustation-cafe.jpg', 'https://lesraffineurs.b-cdn.net/4531-large_default/atelier-decouverte-et-degustation-cafe.jpg', 'https://lesraffineurs.b-cdn.net/4528-large_default/atelier-decouverte-et-degustation-cafe.jpg', 'https://lesraffineurs.b-cdn.net/4559-large_default/atelier-decouverte-et-degustation-cafe.jpg', 'https://lesraffineurs.b-cdn.net/4560-large_default/atelier-decouverte-et-degustation-cafe.jpg', 'https://lesraffineurs.b-cdn.net/4562-large_default/atelier-decouverte-et-degustation-cafe.jpg', 'https://lesraffineurs.b-cdn.net/4532-large_default/atelier-decouverte-et-degustation-cafe.jpg']",
Sablier magnétique,242,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/242-sablier-magnetique.html,"['https://lesraffineurs.b-cdn.net/1559-large_default/sablier-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/1558-large_default/sablier-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/1564-large_default/sablier-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/1560-large_default/sablier-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/1557-large_default/sablier-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/1561-large_default/sablier-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/1563-large_default/sablier-magnetique.jpg']",
Ceinture tressée en élastique,624,du-style,https://www.lesraffineurs.com/du-style/624-ceintures-tressee-en-elastique.html,"['https://lesraffineurs.b-cdn.net/5210-large_default/ceintures-tressee-en-elastique.jpg', 'https://lesraffineurs.b-cdn.net/5211-large_default/ceintures-tressee-en-elastique.jpg', 'https://lesraffineurs.b-cdn.net/5212-large_default/ceintures-tressee-en-elastique.jpg', 'https://lesraffineurs.b-cdn.net/5213-large_default/ceintures-tressee-en-elastique.jpg', 'https://lesraffineurs.b-cdn.net/5215-large_default/ceintures-tressee-en-elastique.jpg', 'https://lesraffineurs.b-cdn.net/6244-large_default/ceintures-tressee-en-elastique.jpg', 'https://lesraffineurs.b-cdn.net/5216-large_default/ceintures-tressee-en-elastique.jpg', 'https://lesraffineurs.b-cdn.net/5217-large_default/ceintures-tressee-en-elastique.jpg', 'https://lesraffineurs.b-cdn.net/5219-large_default/ceintures-tressee-en-elastique.jpg', 'https://lesraffineurs.b-cdn.net/5218-large_default/ceintures-tressee-en-elastique.jpg']",
Atelier cocktails vintage et contemporains,83,des-experiences,https://www.lesraffineurs.com/des-experiences/83-cours-de-cocktail-paris.html,"['https://lesraffineurs.b-cdn.net/7667-large_default/cours-de-cocktail-paris.jpg', 'https://lesraffineurs.b-cdn.net/7665-large_default/cours-de-cocktail-paris.jpg', 'https://lesraffineurs.b-cdn.net/7662-large_default/cours-de-cocktail-paris.jpg', 'https://lesraffineurs.b-cdn.net/7666-large_default/cours-de-cocktail-paris.jpg', 'https://lesraffineurs.b-cdn.net/7668-large_default/cours-de-cocktail-paris.jpg', 'https://lesraffineurs.b-cdn.net/7664-large_default/cours-de-cocktail-paris.jpg', 'https://lesraffineurs.b-cdn.net/11266-large_default/cours-de-cocktail-paris.jpg', 'https://lesraffineurs.b-cdn.net/11268-large_default/cours-de-cocktail-paris.jpg', 'https://lesraffineurs.b-cdn.net/11267-large_default/cours-de-cocktail-paris.jpg']",
Sac à bûches,1310,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/1310-sac-a-buches.html,"['https://lesraffineurs.b-cdn.net/10997-large_default/sac-a-buches.jpg', 'https://lesraffineurs.b-cdn.net/10990-large_default/sac-a-buches.jpg', 'https://lesraffineurs.b-cdn.net/10989-large_default/sac-a-buches.jpg', 'https://lesraffineurs.b-cdn.net/10995-large_default/sac-a-buches.jpg', 'https://lesraffineurs.b-cdn.net/10992-large_default/sac-a-buches.jpg', 'https://lesraffineurs.b-cdn.net/10993-large_default/sac-a-buches.jpg', 'https://lesraffineurs.b-cdn.net/10994-large_default/sac-a-buches.jpg', 'https://lesraffineurs.b-cdn.net/10996-large_default/sac-a-buches.jpg']",
Gants en cuir et flanelle by Dents,1606,du-style,https://www.lesraffineurs.com/du-style/1606-gants-en-cuir-et-flanelle-by-dents.html,"['https://lesraffineurs.b-cdn.net/13231-large_default/gants-en-cuir-et-flanelle-by-dents.jpg', 'https://lesraffineurs.b-cdn.net/13229-large_default/gants-en-cuir-et-flanelle-by-dents.jpg', 'https://lesraffineurs.b-cdn.net/13228-large_default/gants-en-cuir-et-flanelle-by-dents.jpg', 'https://lesraffineurs.b-cdn.net/13230-large_default/gants-en-cuir-et-flanelle-by-dents.jpg', 'https://lesraffineurs.b-cdn.net/13232-large_default/gants-en-cuir-et-flanelle-by-dents.jpg', 'https://lesraffineurs.b-cdn.net/13233-large_default/gants-en-cuir-et-flanelle-by-dents.jpg', 'https://lesraffineurs.b-cdn.net/13234-large_default/gants-en-cuir-et-flanelle-by-dents.jpg', 'https://lesraffineurs.b-cdn.net/13236-large_default/gants-en-cuir-et-flanelle-by-dents.jpg', 'https://lesraffineurs.b-cdn.net/13235-large_default/gants-en-cuir-et-flanelle-by-dents.jpg']",
Fabriquez votre propre couteau,811,des-experiences,https://www.lesraffineurs.com/des-experiences/811-fabriquer-son-couteau-d-anjou.html,"['https://lesraffineurs.b-cdn.net/7716-large_default/fabriquer-son-couteau-d-anjou.jpg', 'https://lesraffineurs.b-cdn.net/7717-large_default/fabriquer-son-couteau-d-anjou.jpg', 'https://lesraffineurs.b-cdn.net/7713-large_default/fabriquer-son-couteau-d-anjou.jpg', 'https://lesraffineurs.b-cdn.net/7714-large_default/fabriquer-son-couteau-d-anjou.jpg', 'https://lesraffineurs.b-cdn.net/7715-large_default/fabriquer-son-couteau-d-anjou.jpg', 'https://lesraffineurs.b-cdn.net/7718-large_default/fabriquer-son-couteau-d-anjou.jpg', 'https://lesraffineurs.b-cdn.net/6868-large_default/fabriquer-son-couteau-d-anjou.jpg', 'https://lesraffineurs.b-cdn.net/6870-large_default/fabriquer-son-couteau-d-anjou.jpg']",
The Line – La silhouette des villes,698,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/698-the-line-la-silhouette-des-villes.html,"['https://lesraffineurs.b-cdn.net/5847-large_default/the-line-la-silhouette-des-villes.jpg', 'https://lesraffineurs.b-cdn.net/7022-large_default/the-line-la-silhouette-des-villes.jpg', 'https://lesraffineurs.b-cdn.net/5842-large_default/the-line-la-silhouette-des-villes.jpg', 'https://lesraffineurs.b-cdn.net/5844-large_default/the-line-la-silhouette-des-villes.jpg', 'https://lesraffineurs.b-cdn.net/5845-large_default/the-line-la-silhouette-des-villes.jpg', 'https://lesraffineurs.b-cdn.net/5846-large_default/the-line-la-silhouette-des-villes.jpg', 'https://lesraffineurs.b-cdn.net/12449-large_default/the-line-la-silhouette-des-villes.jpg', 'https://lesraffineurs.b-cdn.net/12448-large_default/the-line-la-silhouette-des-villes.jpg', 'https://lesraffineurs.b-cdn.net/14403-large_default/the-line-la-silhouette-des-villes.jpg', 'https://lesraffineurs.b-cdn.net/5841-large_default/the-line-la-silhouette-des-villes.jpg']",
Kit de nettoyage pour sneakers,1547,du-style,https://www.lesraffineurs.com/du-style/1547-kit-de-nettoyage-pour-sneakers.html,"['https://lesraffineurs.b-cdn.net/12604-large_default/kit-de-nettoyage-pour-sneakers.jpg', 'https://lesraffineurs.b-cdn.net/12605-large_default/kit-de-nettoyage-pour-sneakers.jpg']",
Chargeur sans fil en noyer,1356,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/1356-chargeur-sans-fil-en-noyer.html,"['https://lesraffineurs.b-cdn.net/11335-large_default/chargeur-sans-fil-en-noyer.jpg', 'https://lesraffineurs.b-cdn.net/11334-large_default/chargeur-sans-fil-en-noyer.jpg', 'https://lesraffineurs.b-cdn.net/11336-large_default/chargeur-sans-fil-en-noyer.jpg', 'https://lesraffineurs.b-cdn.net/11333-large_default/chargeur-sans-fil-en-noyer.jpg']",
Set à sushi maki,1654,du-palais,https://www.lesraffineurs.com/du-palais/1654-set-a-sushi-maki.html,"['https://lesraffineurs.b-cdn.net/13150-large_default/set-a-sushi-maki.jpg', 'https://lesraffineurs.b-cdn.net/13151-large_default/set-a-sushi-maki.jpg', 'https://lesraffineurs.b-cdn.net/13154-large_default/set-a-sushi-maki.jpg', 'https://lesraffineurs.b-cdn.net/13152-large_default/set-a-sushi-maki.jpg', 'https://lesraffineurs.b-cdn.net/13153-large_default/set-a-sushi-maki.jpg', 'https://lesraffineurs.b-cdn.net/13155-large_default/set-a-sushi-maki.jpg']",
Whisky français évadé,1710,du-gosier,https://www.lesraffineurs.com/du-gosier/1710-whisky-evade-single-malt.html,"['https://lesraffineurs.b-cdn.net/13381-large_default/whisky-evade-single-malt.jpg', 'https://lesraffineurs.b-cdn.net/13380-large_default/whisky-evade-single-malt.jpg', 'https://lesraffineurs.b-cdn.net/13378-large_default/whisky-evade-single-malt.jpg', 'https://lesraffineurs.b-cdn.net/13377-large_default/whisky-evade-single-malt.jpg', 'https://lesraffineurs.b-cdn.net/13379-large_default/whisky-evade-single-malt.jpg', 'https://lesraffineurs.b-cdn.net/13376-large_default/whisky-evade-single-malt.jpg', 'https://lesraffineurs.b-cdn.net/13382-large_default/whisky-evade-single-malt.jpg', 'https://lesraffineurs.b-cdn.net/13383-large_default/whisky-evade-single-malt.jpg', 'https://lesraffineurs.b-cdn.net/13384-large_default/whisky-evade-single-malt.jpg']",
Affiche 100 cases à ouvrir avant de mourir,480,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/480-affiche-100-choses-a-faire-avant-de-mourrir.html,"['https://lesraffineurs.b-cdn.net/3829-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3828-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3825-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3824-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3826-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3827-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3833-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3834-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3830-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3831-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/3832-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/5584-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/5585-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/5586-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/6011-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/6009-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/6010-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/6012-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg', 'https://lesraffineurs.b-cdn.net/6013-large_default/affiche-100-choses-a-faire-avant-de-mourrir.jpg']",
